State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Amarawati,Achalpur,Soyabean,Other,FAQ,13/07/2024,4250,4300,4275,13
Maharashtra,Amarawati,Amarawati,Soyabean,Other,FAQ,04/07/2024,4300,4435,4367,13
Maharashtra,Amarawati,Amarawati,Soyabean,Other,FAQ,11/07/2024,4200,4300,4250,13
Maharashtra,Amarawati,Amarawati,Soyabean,Other,FAQ,12/07/2024,4150,4280,4215,13
Maharashtra,Amarawati,Amarawati,Soyabean,Other,FAQ,15/07/2024,4200,4278,4239,13
Maharashtra,Amarawati,Amarawati,Soyabean,Other,FAQ,18/07/2024,4200,4319,4259,13
Maharashtra,Amarawati,Chandur Bazar,Soyabean,Yellow,FAQ,12/07/2024,4000,4300,4250,13
Maharashtra,Amarawati,Chandur Bazar,Soyabean,Yellow,FAQ,26/07/2024,4000,4350,4180,13
Maharashtra,Amarawati,Chandur Bazar,Soyabean,Yellow,FAQ,29/07/2024,4000,4300,4150,13
Maharashtra,Amarawati,Daryapur,Soyabean,Yellow,FAQ,01/07/2024,3555,4410,4200,13
Maharashtra,Amarawati,Daryapur,Soyabean,Yellow,FAQ,20/07/2024,3500,4370,4250,13
Maharashtra,Amarawati,Shetkari Khushi Bazar,Soyabean,Other,FAQ,02/07/2024,4350,4400,4365,13
Maharashtra,Amarawati,Shetkari Khushi Bazar,Soyabean,Other,FAQ,10/07/2024,4000,4400,4279,13
Maharashtra,Amarawati,Shetkari Khushi Bazar,Soyabean,Other,FAQ,12/07/2024,4100,4400,4348,13
Maharashtra,Amarawati,Shetkari Khushi Bazar,Soyabean,Other,FAQ,26/07/2024,3800,4400,4269,13
Maharashtra,Amarawati,Varud(Rajura Bazar),Soyabean,Yellow,FAQ,04/07/2024,3550,4275,4078,13
Maharashtra,Amarawati,Achalpur,Soyabean,Other,FAQ,12/08/2024,4100,4150,4125,13
Maharashtra,Amarawati,Achalpur,Soyabean,Other,FAQ,27/08/2024,4000,4100,4050,13
Maharashtra,Amarawati,Amarawati,Soyabean,Other,FAQ,05/08/2024,4150,4256,4203,13
Maharashtra,Amarawati,Amarawati,Soyabean,Other,FAQ,14/08/2024,4050,4156,4103,13
Maharashtra,Amarawati,Amarawati,Soyabean,Other,FAQ,16/08/2024,4100,4190,4145,13
Maharashtra,Amarawati,Amarawati,Soyabean,Other,FAQ,21/08/2024,4100,4169,4134,13
Maharashtra,Amarawati,Amarawati,Soyabean,Other,FAQ,27/08/2024,4250,4313,4281,13
Maharashtra,Amarawati,Chandur Bazar,Soyabean,Yellow,FAQ,05/08/2024,4000,4200,4110,13
Maharashtra,Amarawati,Chandur Bazar,Soyabean,Yellow,FAQ,08/08/2024,4000,4150,4050,13
Maharashtra,Amarawati,Chandur Bazar,Soyabean,Yellow,FAQ,12/08/2024,3000,4100,3800,13
Maharashtra,Amarawati,Chandur Bazar,Soyabean,Yellow,FAQ,13/08/2024,4000,4150,4050,13
Maharashtra,Amarawati,Chandur Bazar,Soyabean,Yellow,FAQ,23/08/2024,4000,4200,4010,13
Maharashtra,Amarawati,Chandur Bazar,Soyabean,Yellow,FAQ,27/08/2024,4000,4200,4060,13
Maharashtra,Amarawati,Chandur Railway,Soyabean,Yellow,FAQ,21/08/2024,4050,4050,4050,13
Maharashtra,Amarawati,Chandur Railway,Soyabean,Yellow,FAQ,31/08/2024,4000,4400,4350,13
Maharashtra,Amarawati,Daryapur,Soyabean,Yellow,FAQ,05/08/2024,3400,4380,4150,13
Maharashtra,Amarawati,Daryapur,Soyabean,Yellow,FAQ,16/08/2024,3300,4150,4050,13
Maharashtra,Amarawati,Daryapur,Soyabean,Yellow,FAQ,17/08/2024,3300,4150,4050,13
Maharashtra,Amarawati,Daryapur,Soyabean,Yellow,FAQ,24/08/2024,3300,4270,4175,13
Maharashtra,Amarawati,Daryapur,Soyabean,Yellow,FAQ,27/08/2024,3500,4360,4350,13
Maharashtra,Amarawati,Daryapur,Soyabean,Yellow,FAQ,31/08/2024,3500,4600,4350,13
Maharashtra,Amarawati,Dhamngaon-Railway,Soyabean,Yellow,FAQ,17/08/2024,3900,4115,4000,13
Maharashtra,Amarawati,Nandgaon Khandeshwar,Soyabean,Yellow,FAQ,21/08/2024,3945,4095,4020,13
Maharashtra,Amarawati,Shetkari Khushi Bazar,Soyabean,Other,FAQ,06/08/2024,4000,4300,4187,13
Maharashtra,Amarawati,Shetkari Khushi Bazar,Soyabean,Other,FAQ,07/08/2024,4100,4250,4189,13
Maharashtra,Amarawati,Shetkari Khushi Bazar,Soyabean,Other,FAQ,13/08/2024,1000,4250,4120,13
Maharashtra,Amarawati,Shetkari Khushi Bazar,Soyabean,Other,FAQ,19/08/2024,4000,4200,4131,13
Maharashtra,Amarawati,Shetkari Khushi Bazar,Soyabean,Other,FAQ,20/08/2024,4100,4200,4189,13
Maharashtra,Amarawati,Varud(Rajura Bazar),Soyabean,Yellow,FAQ,29/08/2024,4170,4260,4250,13
Maharashtra,Amarawati,Achalpur,Soyabean,Other,FAQ,17/09/2024,4300,4400,4350,13
Maharashtra,Amarawati,Achalpur,Soyabean,Other,FAQ,30/09/2024,4300,4500,4400,13
