State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Pune,Junnar,Potato,Local,FAQ,04/02/2024,1000,1400,1200,24
Maharashtra,Pune,Junnar,Potato,Local,FAQ,18/02/2024,1300,1600,1400,24
Maharashtra,Pune,Junnar,Potato,Local,FAQ,03/03/2024,1400,1900,1500,24
Maharashtra,Pune,Junnar,Potato,Local,FAQ,14/03/2024,1300,2000,1600,24
Maharashtra,Pune,Junnar,Potato,Other,FAQ,21/02/2021,500,1600,1200,24
Maharashtra,Pune,Junnar,Potato,Other,FAQ,25/02/2021,500,1600,1200,24
Maharashtra,Pune,Junnar,Potato,Other,FAQ,25/07/2021,800,1200,1000,24
Maharashtra,Pune,Junnar,Potato,Other,FAQ,26/09/2021,800,1300,1000,24
Maharashtra,Pune,Junnar,Potato,Other,FAQ,10/10/2021,1000,1500,1200,24
Maharashtra,Pune,Junnar,Potato,Other,FAQ,01/11/2021,800,1600,1000,24
Maharashtra,Pune,Junnar,Potato,Other,FAQ,28/11/2021,800,1500,1150,24
Maharashtra,Pune,Junnar,Potato,Other,FAQ,16/12/2021,1200,1500,1300,24
Maharashtra,Pune,Junnar,Potato,Other,FAQ,30/12/2021,800,1300,1000,24
Maharashtra,Pune,Junnar,Potato,Local,FAQ,02/01/2025,1100,1700,1400,24
Maharashtra,Pune,Junnar,Potato,Local,FAQ,12/01/2025,1800,2200,2000,24
Maharashtra,Pune,Junnar,Potato,Other,FAQ,06/01/2022,800,1300,1000,24
Maharashtra,Pune,Junnar,Potato,Other,FAQ,03/04/2022,1300,1850,1500,24
Maharashtra,Pune,Junnar,Potato,Other,FAQ,21/04/2022,1200,1900,1500,24
Maharashtra,Pune,Junnar,Potato,Other,FAQ,05/05/2022,1800,2000,1900,24
Maharashtra,Pune,Junnar,Potato,Other,FAQ,19/05/2022,1900,2100,2000,24
Maharashtra,Pune,Junnar,Potato,Other,FAQ,30/10/2022,2500,2800,2600,24
