State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Pune,Junnar,Tomato,Local,FAQ,10/06/2021,250,750,600,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,03/07/2024,2500,5500,4000,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,06/07/2024,2500,6000,4000,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,31/07/2024,1000,2500,2000,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,01/08/2024,1000,2500,2000,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,04/08/2024,1000,3000,2000,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,29/08/2024,500,1250,1000,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,31/08/2024,750,2000,1500,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,01/05/2024,500,1500,1000,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,22/05/2024,750,1500,1000,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,29/05/2024,500,1500,1000,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,31/05/2024,500,1750,1500,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,13/01/2024,500,2000,1500,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,17/01/2024,1000,2250,1500,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,21/01/2024,1000,2500,2000,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,28/01/2024,1000,3000,2000,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,31/01/2024,1000,3000,2000,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,10/02/2024,1000,2500,2000,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,14/02/2024,1000,2500,2000,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,21/02/2024,500,2000,1500,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,24/02/2024,500,2000,1500,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,25/02/2024,500,2000,1500,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,27/02/2024,500,2000,1500,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,29/02/2024,500,2000,1500,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,06/03/2024,1000,3500,2000,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,15/03/2024,500,2000,1500,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,29/03/2024,250,1000,600,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,29/04/2024,250,1000,750,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,30/04/2024,250,1000,750,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,21/02/2021,500,750,600,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,26/02/2021,750,1375,1000,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,10/03/2021,500,1000,800,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,22/03/2021,500,1000,850,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,30/03/2021,1000,2000,1500,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,01/04/2021,1000,2000,1500,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,06/04/2021,750,1500,1200,78
Maharashtra,Pune,Junnar(Narayangaon),Tomato,Local,FAQ,07/04/2021,750,1500,1000,78
