commodity,district,horizon,RMSE,MAE,MAPE,coverage_80pct
potato,pune,1d,379.9,118.54,8.92,80.2
potato,pune,7d,387.81,136.29,10.36,89.2
potato,pune,15d,399.94,155.58,12.05,89.3
potato,pune,30d,214.73,141.35,9.98,86.9
onion,nashik,1d,161.68,110.31,10.05,83.5
onion,nashik,7d,251.07,180.73,16.7,90.1
onion,nashik,15d,309.38,219.51,20.61,90.6
onion,nashik,30d,394.27,260.68,23.22,95.8
soyabean,amravati,1d,207.77,128.22,3.12,77.5
soyabean,amravati,7d,254.08,177.89,4.36,86.5
soyabean,amravati,15d,501.48,331.01,8.04,85.0
soyabean,amravati,30d,222.23,152.92,3.61,84.2
