Commodity,Horizon,Quantile,MAE,MAPE,Coverage
onion,1d,p50,119.49,10.85%,83.8%
onion,7d,p50,212.07,19.53%,89.3%
onion,15d,p50,261.19,24.47%,89.6%
onion,30d,p50,317.51,28.55%,94.8%
soyabean,1d,p50,145.31,3.49%,74.9%
soyabean,7d,p50,194.36,4.69%,83.9%
soyabean,15d,p50,420.2,10.18%,82.5%
soyabean,30d,p50,188.4,4.42%,81.5%
potato,1d,p50,123.85,9.05%,79.5%
potato,7d,p50,148.58,10.99%,88.2%
potato,15d,p50,174.86,13.46%,88.4%
potato,30d,p50,160.36,11.28%,84.1%
wheat,1d,p50,1644.49,96.38%,74.2%
wheat,7d,p50,1691.59,99.99%,88.3%
wheat,15d,p50,1714.51,100.30%,88.4%
wheat,30d,p50,710.39,24.52%,91.6%
